ID_VEICULO;ID_CONTRIB;COD_SIT_DETRAN;ANO_FABR;COD_MARCA;COD_TIPO_COMBUST;COD_PROCEDENCIA
1000047;11113911139;3;2003;1010;2;1
1000048;11126711267;2;2016;1009;2;2
1000049;11114611146;4;2010;1000;2;1
1000050;11128911289;4;2021;1004;4;2
1000051;11128711287;3;2016;1003;1;1
1000052;11116111161;4;2020;1009;4;1
1000053;11123111231;2;2003;1000;3;2
1000054;11127311273;2;2001;1008;5;1
1000055;11111911119;2;2019;1006;4;1
1000056;11128011280;4;2008;1006;4;1
1000057;11110211102;3;2011;1005;3;1
1000058;11116911169;2;2008;1005;5;2
1000059;11114311143;2;2018;1008;2;1
1000060;11125011250;3;2013;1004;1;2
1000061;11128411284;4;2003;1005;3;2
1000062;11113511135;2;2019;1002;3;1
1000063;11126011260;2;2005;1002;3;2
1000064;11119811198;4;2016;1009;4;1
1000065;11115211152;2;2001;1005;5;1
1000066;11115911159;4;2012;1007;3;1
1000067;11129011290;4;2020;1007;2;1
1000068;11118411184;2;2020;1006;5;2
1000069;11118911189;2;2000;1008;3;1
1000070;11119511195;4;2014;1000;4;1
1000071;11121811218;3;2010;1000;5;2
1000072;11112511125;4;2008;1006;3;1
1000073;11123611236;2;2010;1004;2;1
1000074;11129111291;2;2019;1002;1;2
1000075;11114511145;4;2018;1004;5;1
1000076;11127611276;2;2010;1008;3;2
1000077;11122311223;4;2018;1001;2;1
1000078;11124311243;3;2020;1004;4;2
1000079;11125511255;2;2000;1010;3;1
1000080;11124111241;2;2005;1003;4;2
1000081;11113411134;2;2009;1010;1;1
1000082;11128811288;2;2017;1008;4;2
1000083;11116411164;2;2002;1007;2;2
1000084;11114711147;4;2015;1003;4;2
1000085;11121911219;3;2006;1009;4;1
1000086;11119911199;2;2021;1000;3;2
1000087;11120211202;2;2011;1001;5;1
1000088;11117611176;2;2007;1003;4;2
1000089;11117311173;3;2018;1006;4;2
1000090;11125111251;4;2003;1004;3;2
1000091;11114211142;2;2008;1000;3;1
1000092;11123511235;3;2005;1008;1;1
1000093;11129711297;2;2005;1001;1;1
1000094;11121411214;2;2012;1008;1;1
1000095;11123311233;2;2002;1003;5;2
1000096;11125711257;3;2000;1008;1;2
1000097;11126611266;4;2015;1001;4;2
1000098;11122011220;4;2012;1009;1;2
1000099;11117511175;3;2004;1003;5;1
1000100;11122611226;2;2014;1001;2;1
1000101;11129411294;3;2017;1006;1;1
1000102;11115411154;4;2022;1000;4;2
1000103;11125911259;4;2008;1010;4;2
1000104;11122811228;2;2004;1009;5;2
1000105;11120711207;2;2022;1004;5;2
1000106;11115311153;2;2014;1007;5;1
1000107;11124711247;3;2014;1009;1;1
1000108;11110411104;2;2017;1007;2;1
1000109;11121711217;2;2019;1004;2;2
1000110;11111611116;2;2009;1009;1;1
1000111;11113611136;2;2012;1007;2;1
1000112;11129811298;3;2009;1003;5;2
1000113;11126511265;4;2018;1002;4;2
1000114;11123211232;2;2011;1006;3;2
1000115;11112811128;4;2022;1001;2;2
1000116;11116611166;3;2014;1009;1;2
1000117;11122911229;2;2016;1010;3;2
1000118;11122411224;2;2020;1003;5;1
1000119;11121611216;3;2008;1003;2;2
1000120;11120811208;2;2011;1004;5;2
1000121;11112611126;3;2013;1008;3;1
1000122;11119311193;4;2015;1002;2;1
1000123;11119011190;4;2010;1007;5;1
1000124;11115811158;2;2005;1001;2;1
1000125;11122111221;2;2014;1005;2;1
1000126;11129511295;2;2013;1002;2;2
1000127;11116011160;2;2011;1009;3;1
1000128;11117811178;2;2011;1005;1;1
1000129;11118711187;2;2005;1000;2;2
1000130;11113211132;3;2019;1007;2;1
1000131;11125811258;2;2016;1006;2;1
1000132;11116311163;2;2014;1009;1;1
1000133;11125311253;2;2000;1001;5;1
1000134;11127711277;2;2019;1003;4;2
1000135;11120011200;2;2019;1010;3;2
1000136;11113311133;3;2004;1008;3;2
1000137;11115011150;3;2018;1007;2;1
1000138;11127911279;2;2017;1005;4;2
1000139;11116511165;4;2021;1008;4;1
1000140;11112211122;4;2010;1006;3;1
1000141;11124911249;2;2015;1009;4;1
1000142;11128311283;2;2001;1001;5;1
1000143;11125411254;2;2002;1000;2;1
1000144;11119211192;2;2000;1002;4;2
1000145;11118211182;2;2008;1003;3;1
1000146;11123411234;3;2015;1009;4;2
1000147;11116711167;2;2021;1009;5;2
1000148;11123911239;2;2022;1001;5;2
1000149;11122211222;2;2017;1002;3;2
1000150;11117111171;2;2013;1007;3;2
1000151;11112011120;2;2000;1003;5;1
1000152;11129211292;2;2014;1001;5;2
1000153;11128211282;2;2011;1006;5;1
1000154;11124511245;3;2018;1004;3;2
1000155;11118811188;2;2000;1010;2;2
1000156;11119611196;4;2015;1000;2;2
1000157;11112911129;2;2004;1002;5;1
1000158;11129311293;2;2015;1001;2;2
1000159;11119111191;2;2018;1000;3;2
1000160;11113811138;4;2020;1004;1;1
1000161;11118311183;4;2022;1005;3;1
1000162;11127211272;2;2007;1001;4;1
1000163;11114111141;3;2010;1010;3;1
1000164;11124211242;3;2003;1007;2;1
1000165;11129911299;2;2005;1003;2;2
1000166;11127011270;2;2002;1010;3;1
1000167;11110711107;2;2004;1010;3;1
1000168;11117711177;3;2020;1006;2;2
1000169;11117411174;2;2021;1010;3;2
1000170;11128111281;2;2002;1007;2;1
1000171;11115511155;3;2007;1006;3;1
1000172;11111211112;2;2018;1005;2;2
1000173;11118111181;2;2013;1006;2;2
1000174;11122511225;4;2021;1001;1;1
1000175;11120611206;2;2005;1003;5;2
1000176;11121511215;4;2007;1001;5;1
1000177;11114411144;3;2017;1000;1;1
1000178;11126111261;2;2006;1008;3;1
1000179;11112711127;3;2013;1010;5;2
1000180;11119411194;3;2005;1010;1;1
1000181;11113111131;4;2010;1002;1;2
1000182;11110311103;4;2012;1003;4;1
1000183;11121311213;3;2021;1007;3;1
1000184;11110611106;3;2007;1008;1;2
1000185;11110011100;2;2018;1007;2;1
1000186;11112411124;2;2011;1004;3;2
1000187;11111511115;3;2022;1004;5;2
1000188;11124011240;2;2002;1003;2;1
1000189;11117911179;3;2008;1009;1;2
1000190;11123711237;4;2011;1010;3;1
1000191;11117211172;3;2018;1008;4;2
1000192;11125211252;2;2017;1005;2;1
1000193;11120311203;2;2010;1001;3;2
1000194;11110911109;3;2017;1002;5;2
1000195;11123811238;2;2019;1002;1;2
1000196;11115711157;3;2013;1009;5;1
1000197;11110111101;2;2019;1003;4;2
1000198;11118511185;2;2018;1004;1;1
1000199;11127411274;2;2003;1001;3;2
